shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2-BEL-C-mjp-1.1.H,-37.8158864821449,145.228968460052,1,0
2-BEL-C-mjp-1.1.H,-37.8145791774077,145.231930570926,2,298.435922770701
2-BEL-C-mjp-1.1.H,-37.8143575603349,145.232776492883,3,376.870608975212
2-BEL-C-mjp-1.1.H,-37.8143252941006,145.233629256939,4,452.037090867076
2-BEL-C-mjp-1.1.H,-37.8144715105763,145.234966246599,5,570.86469708718
2-BEL-C-mjp-1.1.H,-37.8148125060643,145.236071406361,6,675.267762176285
2-BEL-C-mjp-1.1.H,-37.8152568379568,145.236856036263,7,760.144142871977
2-BEL-C-mjp-1.1.H,-37.8163176792925,145.237887300186,8,908.821646213942
2-BEL-C-mjp-1.1.H,-37.8169913049601,145.238337057032,9,993.420700582179
2-BEL-C-mjp-1.1.H,-37.8181639858057,145.239013532018,10,1136.54651935713
2-BEL-C-mjp-1.1.H,-37.8283222725383,145.244555375848,11,2364.96216562675
2-BEL-C-mjp-1.1.H,-37.8283222725383,145.244555375848,12,2364.96216562675
2-BEL-C-mjp-1.1.H,-37.8294126552519,145.245154460087,13,2496.96595345119
2-BEL-C-mjp-1.1.H,-37.8306582175443,145.245886235669,14,2649.47169104817
2-BEL-C-mjp-1.1.H,-37.8314528218283,145.246594622721,15,2757.47632057858
2-BEL-C-mjp-1.1.H,-37.8322737238095,145.247859174984,16,2901.31650967745
2-BEL-C-mjp-1.1.H,-37.8326966993014,145.249030897088,17,3014.63464591345
2-BEL-C-mjp-1.1.H,-37.8331628908014,145.251292444983,18,3220.31400802837
2-BEL-C-mjp-1.1.H,-37.8345495758916,145.258509339376,19,3873.92551343506
2-BEL-C-mjp-1.1.H,-37.8347090042354,145.259539632309,20,3966.32140078942
2-BEL-C-mjp-1.1.H,-37.8349960598141,145.260669200527,21,4070.72446587852
2-BEL-C-mjp-1.1.H,-37.8352048272449,145.261380177556,22,4137.45526836134
2-BEL-C-mjp-1.1.H,-37.8356678543363,145.262221550936,23,4227.59405024794
2-BEL-C-mjp-1.1.H,-37.836135694818,145.262778738886,24,4299.01533559061
2-BEL-C-mjp-1.1.H,-37.8366295544526,145.263267143243,25,4368.67163465968
2-BEL-C-mjp-1.1.H,-37.8417300410993,145.268136389217,26,5078.66107120082
2-BEL-C-mjp-1.1.H,-37.8417300410993,145.268136389217,27,5078.66107120082
2-BEL-C-mjp-1.1.H,-37.8567744642927,145.282503994232,28,7173.02040044688
2-BEL-C-mjp-1.1.H,-37.8580109673789,145.283248231968,29,7325.07302291686
