shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2-CRB-B-mjp-1.1.H,-37.9896602339298,145.209049633203,1,0
2-CRB-B-mjp-1.1.H,-37.99042284755,145.21060249699,2,160.524141486569
2-CRB-B-mjp-1.1.H,-37.9909825803795,145.21185286625,3,286.702586555448
2-CRB-B-mjp-1.1.H,-37.9915869969357,145.213079395889,4,413.612003069747
2-CRB-B-mjp-1.1.H,-37.9921297422009,145.213806400052,5,501.395828459166
2-CRB-B-mjp-1.1.H,-37.995960869352,145.216252963133,6,977.809514240757
2-CRB-B-mjp-1.1.H,-37.9966442797465,145.216748866456,7,1065.27379266344
2-CRB-B-mjp-1.1.H,-37.9971832064825,145.2172255011,8,1138.28064165721
2-CRB-B-mjp-1.1.H,-37.9976413997665,145.217726873308,9,1205.54876189258
2-CRB-B-mjp-1.1.H,-37.9982759284178,145.218565631815,10,1307.46048840136
2-CRB-B-mjp-1.1.H,-37.9984979973832,145.218947460326,11,1349.07779249473
2-CRB-B-mjp-1.1.H,-37.999762451195,145.221513445464,12,1614.55848859145
2-CRB-B-mjp-1.1.H,-37.9999489932686,145.221930314203,13,1656.61797028108
2-CRB-B-mjp-1.1.H,-38.0004738417307,145.222669285384,14,1743.82462140357
2-CRB-B-mjp-1.1.H,-38.0010329995949,145.223293552129,15,1826.63162593821
2-CRB-B-mjp-1.1.H,-38.0013796254662,145.223569904878,16,1872.11788760039
2-CRB-B-mjp-1.1.H,-38.0075208782238,145.226234940149,17,2592.76898209758
2-CRB-B-mjp-1.1.H,-38.0349275602662,145.23833520422,18,5814.70023524374
2-CRB-B-mjp-1.1.H,-38.0416156677601,145.241433903748,19,6605.2475140323
2-CRB-B-mjp-1.1.H,-38.0573410066937,145.24926372083,20,8480.94045265525
2-CRB-B-mjp-1.1.H,-38.0573410066937,145.24926372083,21,8480.94045265525
2-CRB-B-mjp-1.1.H,-38.0648404416193,145.253006101683,22,9375.7096966506
2-CRB-B-mjp-1.1.H,-38.0664673773145,145.253936307346,23,9573.86620045504
2-CRB-B-mjp-1.1.H,-38.0790004761497,145.263511372935,24,11198.8526619371
2-CRB-B-mjp-1.1.H,-38.0790004761497,145.263511372935,25,11198.8526619371
2-CRB-B-mjp-1.1.H,-38.096636448116,145.276972194675,26,13484.7472351841
2-CRB-B-mjp-1.1.H,-38.0974122150433,145.277638198265,27,13588.7904954175
2-CRB-B-mjp-1.1.H,-38.0978973618121,145.278151383015,28,13658.9688396556
2-CRB-B-mjp-1.1.H,-38.0995373065849,145.280598975647,29,13940.4079982672
