shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2-HBG-B-mjp-1.1.H,-37.8183051340585,144.966964346166,1,0
2-HBG-B-mjp-1.1.H,-37.8180840725787,144.967731536194,2,71.8679344353238
2-HBG-B-mjp-1.1.H,-37.8170820953556,144.970246839067,3,319.692469136794
2-HBG-B-mjp-1.1.H,-37.8167127751756,144.971302063032,4,421.245410994723
2-HBG-B-mjp-1.1.H,-37.8162887992632,144.972847243595,5,565.207211483603
2-HBG-B-mjp-1.1.H,-37.8159388377161,144.97398143247,6,672.361306132384
2-HBG-B-mjp-1.1.H,-37.8158608956958,144.974165319291,7,690.71886588307
2-HBG-B-mjp-1.1.H,-37.8157994057351,144.974257878158,8,701.349011695805
2-HBG-B-mjp-1.1.H,-37.8156830660015,144.974829044151,9,753.272031638793
2-HBG-B-mjp-1.1.H,-37.8156528670069,144.975693207354,10,829.436327736112
2-HBG-B-mjp-1.1.H,-37.8165270224388,144.984098336822,11,1575.84439307303
2-HBG-B-mjp-1.1.H,-37.8165270224388,144.984098336822,12,1575.84439307303
2-HBG-B-mjp-1.1.H,-37.8168637521911,144.987451710418,13,1873.46327688251
2-HBG-B-mjp-1.1.H,-37.8167786391233,144.988271935151,14,1946.29870782103
2-HBG-B-mjp-1.1.H,-37.8165773908402,144.989152109085,15,2026.95228802675
2-HBG-B-mjp-1.1.H,-37.8162921597373,144.989864158821,16,2097.18760677736
2-HBG-B-mjp-1.1.H,-37.8159769945893,144.990406618031,17,2156.39064723982
2-HBG-B-mjp-1.1.H,-37.8155886033473,144.990882899506,18,2216.53214705484
2-HBG-B-mjp-1.1.H,-37.8152517376996,144.991210103519,19,2263.73384193966
2-HBG-B-mjp-1.1.H,-37.8149489647723,144.991422784198,20,2302.20461006301
2-HBG-B-mjp-1.1.H,-37.8149489647723,144.991422784198,21,2302.20461006301
2-HBG-B-mjp-1.1.H,-37.814457999385,144.991697361071,22,2361.82004430616
2-HBG-B-mjp-1.1.H,-37.8139116319755,144.991893919037,23,2424.88350440787
2-HBG-B-mjp-1.1.H,-37.810398356473,144.992500261754,24,2818.46449988402
2-HBG-B-mjp-1.1.H,-37.810398356473,144.992500261754,25,2818.46449988402
2-HBG-B-mjp-1.1.H,-37.8089069580245,144.992767829355,26,2985.66497835224
2-HBG-B-mjp-1.1.H,-37.8077697591112,144.993196172684,27,3117.39955999275
2-HBG-B-mjp-1.1.H,-37.8045257330406,144.993738313628,28,3480.60886604093
2-HBG-B-mjp-1.1.H,-37.8045257330406,144.993738313628,29,3480.60886604093
2-HBG-B-mjp-1.1.H,-37.8019919537058,144.994181682949,30,3764.53315172287
2-HBG-B-mjp-1.1.H,-37.8006762540892,144.994183204911,31,3910.56397038797
2-HBG-B-mjp-1.1.H,-37.7991578245232,144.994451425812,32,4080.74328758016
2-HBG-B-mjp-1.1.H,-37.7991578245232,144.994451425812,33,4080.74328758016
2-HBG-B-mjp-1.1.H,-37.7953752564824,144.995121558687,34,4504.7020119862
2-HBG-B-mjp-1.1.H,-37.7947282491963,144.995229902678,35,4577.1450930913
2-HBG-B-mjp-1.1.H,-37.793846848644,144.995333223982,36,4675.39477502463
2-HBG-B-mjp-1.1.H,-37.7934146729184,144.995356262285,37,4723.40519056126
2-HBG-B-mjp-1.1.H,-37.7926292652075,144.99527528565,38,4810.86946898394
2-HBG-B-mjp-1.1.H,-37.7923758906391,144.995213997402,39,4839.5051111105
2-HBG-B-mjp-1.1.H,-37.7914089764016,144.995058437088,40,4947.69475941383
2-HBG-B-mjp-1.1.H,-37.7906969825364,144.995054971688,41,5026.72007181435
2-HBG-B-mjp-1.1.H,-37.7902653863404,144.995112061684,42,5074.88645012952
2-HBG-B-mjp-1.1.H,-37.7895384683354,144.995290690538,43,5157.08742335977
2-HBG-B-mjp-1.1.H,-37.7886574531492,144.995416701875,44,5255.49982095276
2-HBG-B-mjp-1.1.H,-37.7886574531492,144.995416701875,45,5255.49982095276
2-HBG-B-mjp-1.1.H,-37.7868505764071,144.995681281197,46,5457.39583379105
2-HBG-B-mjp-1.1.H,-37.7860086810311,144.995987908166,47,5554.66350570726
2-HBG-B-mjp-1.1.H,-37.7852147192578,144.99646355926,48,5652.23911741429
2-HBG-B-mjp-1.1.H,-37.7844035118331,144.996985085263,49,5753.31829430053
2-HBG-B-mjp-1.1.H,-37.7826015131314,144.998067011793,50,5974.8696427505
2-HBG-B-mjp-1.1.H,-37.7812795568189,144.998761240773,51,6133.82875699061
2-HBG-B-mjp-1.1.H,-37.7806206974559,144.999233186635,52,6217.94772036986
2-HBG-B-mjp-1.1.H,-37.7806206974559,144.999233186635,53,6217.94772036986
2-HBG-B-mjp-1.1.H,-37.7802395336148,144.999606803036,54,6271.54809350289
2-HBG-B-mjp-1.1.H,-37.7797020100153,145.00032525732,55,6358.52510195915
2-HBG-B-mjp-1.1.H,-37.7795105827633,145.00072781361,56,6399.86515517634
2-HBG-B-mjp-1.1.H,-37.7793220428908,145.001300602797,57,6454.49115631133
2-HBG-B-mjp-1.1.H,-37.7792078723124,145.002007636466,58,6518.05215063961
2-HBG-B-mjp-1.1.H,-37.7791883561781,145.002450974404,59,6557.16736507082
2-HBG-B-mjp-1.1.H,-37.779187287481,145.008241630012,60,7067.28597872847
2-HBG-B-mjp-1.1.H,-37.779187287481,145.008241630012,61,7067.28597872847
2-HBG-B-mjp-1.1.H,-37.7791712565636,145.016905299916,62,7830.49826898591
2-HBG-B-mjp-1.1.H,-37.7791712565636,145.016905299916,63,7830.49826898591
2-HBG-B-mjp-1.1.H,-37.7791697711515,145.028089223877,64,8815.72210142197
2-HBG-B-mjp-1.1.H,-37.7791083462574,145.028726691312,65,8872.29064391689
2-HBG-B-mjp-1.1.H,-37.7789846221113,145.029411228978,66,8934.13722830116
2-HBG-B-mjp-1.1.H,-37.7783936317016,145.031254932307,67,9109.30000973603
2-HBG-B-mjp-1.1.H,-37.7783936317016,145.031254932307,68,9109.30000973603
2-HBG-B-mjp-1.1.H,-37.7773308559934,145.034530353347,69,9421.02424684312
2-HBG-B-mjp-1.1.H,-37.7766600358696,145.036455564767,70,9606.24843532832
2-HBG-B-mjp-1.1.H,-37.7762577760353,145.037192849906,71,9685.06467730927
2-HBG-B-mjp-1.1.H,-37.7755854619855,145.03794862058,72,9785.06967718428
2-HBG-B-mjp-1.1.H,-37.7749634109414,145.038475977422,73,9868.28626206974
2-HBG-B-mjp-1.1.H,-37.7749634109414,145.038475977422,74,9868.28626206974
2-HBG-B-mjp-1.1.H,-37.7705915287525,145.042201743218,75,10454.1087607842
2-HBG-B-mjp-1.1.H,-37.7700415200341,145.04272712768,76,10530.7181596853
2-HBG-B-mjp-1.1.H,-37.769698880843,145.043258390492,77,10591.0257048186
2-HBG-B-mjp-1.1.H,-37.7688967438294,145.045425188311,78,10801.6675809971
2-HBG-B-mjp-1.1.H,-37.7688967438294,145.045425188311,79,10801.6675809971
2-HBG-B-mjp-1.1.H,-37.7683019170218,145.047052915999,80,10959.5441150356
2-HBG-B-mjp-1.1.H,-37.7679635827404,145.047845141181,81,11038.8031839173
2-HBG-B-mjp-1.1.H,-37.7674623467263,145.048596231486,82,11125.2554829035
2-HBG-B-mjp-1.1.H,-37.7635855335936,145.053942691014,83,11763.2554829035
2-HBG-B-mjp-1.1.H,-37.7635855335936,145.053942691014,84,11763.2554829035
2-HBG-B-mjp-1.1.H,-37.7631803465297,145.054509549733,85,11830.4641133017
2-HBG-B-mjp-1.1.H,-37.7627560164182,145.055008793228,86,11894.9078872446
2-HBG-B-mjp-1.1.H,-37.762028031807,145.055674906094,87,11994.7727959963
2-HBG-B-mjp-1.1.H,-37.7603652385556,145.05703520657,88,12214.829606843
2-HBG-B-mjp-1.1.H,-37.7594514384182,145.057910459872,89,12342.242322064
2-HBG-B-mjp-1.1.H,-37.7584360768079,145.059185634142,90,12501.3806266924
2-HBG-B-mjp-1.1.H,-37.7573995084833,145.060268361214,91,12650.8396511774
2-HBG-B-mjp-1.1.H,-37.7570729333161,145.060685522992,92,12702.463289174
2-HBG-B-mjp-1.1.H,-37.7570729333161,145.060685522992,93,12702.463289174
2-HBG-B-mjp-1.1.H,-37.7566144092211,145.061299089784,94,12776.7128682974
2-HBG-B-mjp-1.1.H,-37.7560710262608,145.062232683864,95,12878.7177701404
2-HBG-B-mjp-1.1.H,-37.7537323560893,145.06524479907,96,13249.9656657573
2-HBG-B-mjp-1.1.H,-37.7532802069389,145.06569923925,97,13314.1684694344
2-HBG-B-mjp-1.1.H,-37.7528888780164,145.066015887268,98,13365.792107431
2-HBG-B-mjp-1.1.H,-37.7523168268285,145.06630318626,99,13434.1441373935
2-HBG-B-mjp-1.1.H,-37.7519223308974,145.066426957501,100,13479.2661940842
2-HBG-B-mjp-1.1.H,-37.7511849670351,145.06652560214,101,13561.5644322184
2-HBG-B-mjp-1.1.H,-37.7470004629032,145.066895548488,102,14027.1329019412
2-HBG-B-mjp-1.1.H,-37.7459093604564,145.066855844285,103,14148.2815709393
2-HBG-B-mjp-1.1.H,-37.7428786002719,145.066140290226,104,14490.5168701122
2-HBG-B-mjp-1.1.H,-37.7428786002719,145.066140290226,105,14490.5168701122
2-HBG-B-mjp-1.1.H,-37.7413134875724,145.065772479203,106,14667.2228405829
2-HBG-B-mjp-1.1.H,-37.7389648510081,145.065436428502,107,14929.5680330298
2-HBG-B-mjp-1.1.H,-37.7378816380996,145.065328451774,108,15050.1665404833
2-HBG-B-mjp-1.1.H,-37.7371607997319,145.065335869613,109,15130.1727902392
2-HBG-B-mjp-1.1.H,-37.736109639143,145.065533448796,110,15248.1304097472
2-HBG-B-mjp-1.1.H,-37.7357061342095,145.06565742779,111,15294.2281320337
2-HBG-B-mjp-1.1.H,-37.734560350755,145.066129798761,112,15428.0376982089
2-HBG-B-mjp-1.1.H,-37.7294255640638,145.068453293262,113,16033.6159342775
2-HBG-B-mjp-1.1.H,-37.7286729663603,145.06872247218,114,16120.4491076619
2-HBG-B-mjp-1.1.H,-37.7277120644349,145.068928977547,115,16228.6387559652
2-HBG-B-mjp-1.1.H,-37.7260123045348,145.069143320058,116,16418.2330596771
2-HBG-B-mjp-1.1.H,-37.7260123045348,145.069143320058,117,16418.2330596771
2-HBG-B-mjp-1.1.H,-37.7239619671301,145.069412137613,118,16647.0233566742
2-HBG-B-mjp-1.1.H,-37.7231189122772,145.069660941588,119,16743.127466888
2-HBG-B-mjp-1.1.H,-37.7225109984737,145.069960363913,120,16815.5774496348
2-HBG-B-mjp-1.1.H,-37.7213617529345,145.070773028903,121,16961.8716737176
2-HBG-B-mjp-1.1.H,-37.7210071791907,145.071133935039,122,17012.4779974331
2-HBG-B-mjp-1.1.H,-37.7206630970049,145.071585328238,123,17067.6323263657
