shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2-SPT-B-mjp-1.1.H,-38.1429900671654,145.126162282251,1,0
2-SPT-B-mjp-1.1.H,-38.1445292216022,145.125483892955,2,180.88670487352
2-SPT-B-mjp-1.1.H,-38.144941215053,145.125325005448,3,228.688378484389
2-SPT-B-mjp-1.1.H,-38.1453903322945,145.125233631469,4,279.176000729846
2-SPT-B-mjp-1.1.H,-38.1458949534231,145.125232123636,5,335.184928589608
2-SPT-B-mjp-1.1.H,-38.1464280549609,145.125321175575,6,394.867421835115
2-SPT-B-mjp-1.1.H,-38.1472988167067,145.125675455056,7,496.380967729247
2-SPT-B-mjp-1.1.H,-38.148011987259,145.12631906031,8,593.58179077103
2-SPT-B-mjp-1.1.H,-38.1484278956765,145.126970281873,9,666.991599379961
2-SPT-B-mjp-1.1.H,-38.1488092244112,145.12771368714,10,744.689733205685
2-SPT-B-mjp-1.1.H,-38.1490635295991,145.128403289137,11,811.398053526316
2-SPT-B-mjp-1.1.H,-38.1520339975222,145.139533963382,12,1841.16695964069
2-SPT-B-mjp-1.1.H,-38.1520339975222,145.139533963382,13,1841.16695964069
2-SPT-B-mjp-1.1.H,-38.1527905965679,145.142356362805,14,2102.3986575642
2-SPT-B-mjp-1.1.H,-38.1531685955175,145.143465168588,15,2208.2476065434
2-SPT-B-mjp-1.1.H,-38.1535238809874,145.144277842474,16,2289.66013629159
2-SPT-B-mjp-1.1.H,-38.1539692402994,145.145088242044,17,2376.19336690272
2-SPT-B-mjp-1.1.H,-38.154587546359,145.146008395686,18,2482.08482075996
2-SPT-B-mjp-1.1.H,-38.1592226644234,145.152499221348,19,3249.05939660978
2-SPT-B-mjp-1.1.H,-38.1595000833055,145.152948747744,20,3299.05939660978
2-SPT-B-mjp-1.1.H,-38.1598340603519,145.153556636425,21,3363.95931956813
2-SPT-B-mjp-1.1.H,-38.1602750130471,145.154664019865,22,3472.64694535874
2-SPT-B-mjp-1.1.H,-38.1605235622023,145.155570823887,23,3556.76590873799
2-SPT-B-mjp-1.1.H,-38.1620956510804,145.163303890136,24,4256.53872901612
2-SPT-B-mjp-1.1.H,-38.162372050749,145.16426711673,25,4346.34964149339
2-SPT-B-mjp-1.1.H,-38.1627823148075,145.165147098465,26,4435.90409420234
2-SPT-B-mjp-1.1.H,-38.1633170806982,145.165921245617,27,4526.04287608894
2-SPT-B-mjp-1.1.H,-38.1639576217757,145.166544373081,28,4615.686615413
2-SPT-B-mjp-1.1.H,-38.1646859243336,145.167016930637,29,4706.51062105027
2-SPT-B-mjp-1.1.H,-38.165465245557,145.167294178835,30,4796.35493083114
2-SPT-B-mjp-1.1.H,-38.1662597326821,145.167388424109,31,4884.92129013308
2-SPT-B-mjp-1.1.H,-38.1670780377789,145.16727661498,32,4976.27226166595
2-SPT-B-mjp-1.1.H,-38.1940520652506,145.160525860951,33,8028.00111593856
2-SPT-B-mjp-1.1.H,-38.1940520652506,145.160525860951,34,8028.00111593856
2-SPT-B-mjp-1.1.H,-38.1967357781205,145.159841698589,35,8331.83824336047
2-SPT-B-mjp-1.1.H,-38.1979131332331,145.159640769999,36,8463.69422540149
2-SPT-B-mjp-1.1.H,-38.1991030754615,145.159667905502,37,8595.78888842767
2-SPT-B-mjp-1.1.H,-38.2002693942274,145.159912608298,38,8727.00245479944
2-SPT-B-mjp-1.1.H,-38.201403080508,145.160375115414,39,8859.19171306198
2-SPT-B-mjp-1.1.H,-38.2050460232457,145.162247709048,40,9295.52300921205
2-SPT-B-mjp-1.1.H,-38.2068926842028,145.163354749712,41,9522.26074316915
2-SPT-B-mjp-1.1.H,-38.2253419593114,145.1762449189,42,11860.4621887251
2-SPT-B-mjp-1.1.H,-38.2253419593114,145.1762449189,43,11860.4621887251
2-SPT-B-mjp-1.1.H,-38.2295785518508,145.179223633646,44,12398.1656385932
2-SPT-B-mjp-1.1.H,-38.2307067038514,145.179915235026,45,12537.2519427356
2-SPT-B-mjp-1.1.H,-38.2318857124728,145.180399947312,46,12674.8201076576
2-SPT-B-mjp-1.1.H,-38.2331161112429,145.180712022365,47,12814.089630526
2-SPT-B-mjp-1.1.H,-38.234370346157,145.180817863739,48,12953.6066545768
2-SPT-B-mjp-1.1.H,-38.248888037074,145.180833035951,49,14564.9446079559
2-SPT-B-mjp-1.1.H,-38.250608380663,145.180778711762,50,14755.9472257391
2-SPT-B-mjp-1.1.H,-38.2510324633182,145.18081384697,51,14803.1171313993
2-SPT-B-mjp-1.1.H,-38.2517015320956,145.180957150326,52,14878.4298129344
2-SPT-B-mjp-1.1.H,-38.2521272086771,145.181095096858,53,14927.1945542953
2-SPT-B-mjp-1.1.H,-38.2529077372678,145.181452755248,54,15019.3086140256
2-SPT-B-mjp-1.1.H,-38.2598150046916,145.186400708984,55,15899.8016577233
2-SPT-B-mjp-1.1.H,-38.2598150046916,145.186400708984,56,15899.8016577233
2-SPT-B-mjp-1.1.H,-38.2629679509398,145.188665337073,57,16301.9720196348
2-SPT-B-mjp-1.1.H,-38.2632864055475,145.188863158132,58,16341.3293569431
2-SPT-B-mjp-1.1.H,-38.2640849284355,145.1892205032,59,16435.3133981416
2-SPT-B-mjp-1.1.H,-38.2643475707861,145.18930541855,60,16465.3966160546
2-SPT-B-mjp-1.1.H,-38.265215334959,145.189478177079,61,16562.8902055874
2-SPT-B-mjp-1.1.H,-38.2719375778095,145.189459837864,62,17309.0034677668
2-SPT-B-mjp-1.1.H,-38.282825211269,145.188411942166,63,18520.9127052925
2-SPT-B-mjp-1.1.H,-38.2868466428354,145.187980395106,64,18968.852433381
2-SPT-B-mjp-1.1.H,-38.2941185091565,145.186210137636,65,19790.6924421418
2-SPT-B-mjp-1.1.H,-38.2948016968264,145.186101649874,66,19867.11233484
2-SPT-B-mjp-1.1.H,-38.3056585273722,145.185979882012,67,21072.182457281
2-SPT-B-mjp-1.1.H,-38.3056585273722,145.185979882012,68,21072.182457281
2-SPT-B-mjp-1.1.H,-38.3139934832924,145.185943742629,69,21997.3040709081
2-SPT-B-mjp-1.1.H,-38.3153231127458,145.185681850682,70,22146.6493085289
2-SPT-B-mjp-1.1.H,-38.3191771867101,145.183755645333,71,22606.3894525233
2-SPT-B-mjp-1.1.H,-38.3201899390762,145.183398654671,72,22723.051357188
2-SPT-B-mjp-1.1.H,-38.3214051151159,145.183311126515,73,22858.143918049
2-SPT-B-mjp-1.1.H,-38.3280552183057,145.183293795195,74,23596.2584078133
2-SPT-B-mjp-1.1.H,-38.3288470233996,145.183216823451,75,23684.400338811
2-SPT-B-mjp-1.1.H,-38.3299145272047,145.182904164649,76,23805.9980361576
2-SPT-B-mjp-1.1.H,-38.3310680307346,145.182326223901,77,23943.6388731211
2-SPT-B-mjp-1.1.H,-38.3341189080966,145.180327958763,78,24324.6743045445
2-SPT-B-mjp-1.1.H,-38.3373903202406,145.178026527511,79,24739.7947689882
2-SPT-B-mjp-1.1.H,-38.3373903202406,145.178026527511,80,24739.7947689882
2-SPT-B-mjp-1.1.H,-38.3388775558526,145.176890895618,81,24932.4213507468
2-SPT-B-mjp-1.1.H,-38.3393791470366,145.176695257776,82,24990.6622298611
2-SPT-B-mjp-1.1.H,-38.339945215542,145.176589532656,83,25054.1681350983
2-SPT-B-mjp-1.1.H,-38.3409355399723,145.176530375411,84,25164.209036585
2-SPT-B-mjp-1.1.H,-38.3416858557495,145.176683187527,85,25248.5535681208
2-SPT-B-mjp-1.1.H,-38.3420219904014,145.176857829014,86,25288.8648568623
2-SPT-B-mjp-1.1.H,-38.3425234664467,145.17723428201,87,25353.5255095036
2-SPT-B-mjp-1.1.H,-38.3540333365844,145.189602487712,88,27027.0762257952
2-SPT-B-mjp-1.1.H,-38.3540333365844,145.189602487712,89,27027.0762257952
2-SPT-B-mjp-1.1.H,-38.3639752893412,145.200296556724,90,28473.1609397729
2-SPT-B-mjp-1.1.H,-38.3645549046993,145.20107193637,91,28566.5954087873
2-SPT-B-mjp-1.1.H,-38.3651288420056,145.202064934255,92,28674.2429819136
2-SPT-B-mjp-1.1.H,-38.3661233827862,145.204043321601,93,28879.3624592921
2-SPT-B-mjp-1.1.H,-38.3661233827862,145.204043321601,94,28879.3624592921
2-SPT-B-mjp-1.1.H,-38.3667281740812,145.205287409759,95,29007.1317826839
2-SPT-B-mjp-1.1.H,-38.3677468026038,145.207665899335,96,29243.734825775
2-SPT-B-mjp-1.1.H,-38.3692794748642,145.212435495605,97,29693.8947973407
2-SPT-B-mjp-1.1.H,-38.3695146182702,145.21308214606,98,29756.1362626191
2-SPT-B-mjp-1.1.H,-38.3697656814356,145.2135910537,99,29808.6148296727
2-SPT-B-mjp-1.1.H,-38.3702653611026,145.214448690384,100,29901.8457258392
2-SPT-B-mjp-1.1.H,-38.3730543224692,145.218294945451,101,30358.7625672884
2-SPT-B-mjp-1.1.H,-38.37353108458,145.218832701718,102,30429.5297913403
2-SPT-B-mjp-1.1.H,-38.3738969985609,145.219785272927,103,30522.1418855829
2-SPT-B-mjp-1.1.H,-38.3742189306865,145.221402857812,104,30667.925972506
2-SPT-B-mjp-1.1.H,-38.3742345364937,145.221837462187,105,30705.9391281234
