shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3-3-mjp-1.6.R,-37.8772711145958,145.058901572484,1,0
3-3-mjp-1.6.R,-37.8770311140861,145.056918248217,2,176.504957437461
3-3-mjp-1.6.R,-37.8770311140861,145.056918248217,3,176.504957437461
3-3-mjp-1.6.R,-37.8768015909087,145.055025615724,4,344.947826090307
3-3-mjp-1.6.R,-37.8768015909087,145.055025615724,5,344.947826090307
3-3-mjp-1.6.R,-37.8763309999011,145.051092892623,6,694.853527672891
3-3-mjp-1.6.R,-37.8763309999011,145.051092892623,7,694.853527672891
3-3-mjp-1.6.R,-37.8759971744581,145.048350366186,8,938.96006179273
3-3-mjp-1.6.R,-37.8759971744581,145.048350366186,9,938.96006179273
3-3-mjp-1.6.R,-37.8756319214546,145.045347208122,10,1206.2613898852
3-3-mjp-1.6.R,-37.8758897510304,145.045135749042,11,1240.39348621696
3-3-mjp-1.6.R,-37.8758897510304,145.045135749042,12,1240.39348621696
3-3-mjp-1.6.R,-37.8760319886271,145.045018297591,13,1259.26144848107
3-3-mjp-1.6.R,-37.8755511904248,145.043200594806,14,1427.84673846807
3-3-mjp-1.6.R,-37.8754044790153,145.041965255317,15,1537.74214328556
3-3-mjp-1.6.R,-37.8763834945345,145.04176879344,16,1647.76941263275
3-3-mjp-1.6.R,-37.8763834945345,145.04176879344,17,1647.76941263275
3-3-mjp-1.6.R,-37.8765720913137,145.041729691222,18,1668.98261606835
3-3-mjp-1.6.R,-37.8765604360552,145.041570831315,19,1683.01828491596
3-3-mjp-1.6.R,-37.8765039306566,145.041424528631,20,1697.33610597924
3-3-mjp-1.6.R,-37.8758120764232,145.040465114226,21,1811.44570242056
3-3-mjp-1.6.R,-37.8753535489735,145.039988398327,22,1877.39265079575
3-3-mjp-1.6.R,-37.8755602719036,145.039414467484,23,1932.8543492912
3-3-mjp-1.6.R,-37.8753215252327,145.03914794187,24,1968.2379613171
3-3-mjp-1.6.R,-37.8753215252327,145.03914794187,25,1968.2379613171
3-3-mjp-1.6.R,-37.8744583157602,145.038181741145,26,2096.31996629829
3-3-mjp-1.6.R,-37.8744583157602,145.038181741145,27,2096.31996629829
3-3-mjp-1.6.R,-37.8743297439502,145.038037357266,28,2115.42493947283
3-3-mjp-1.6.R,-37.8740901541705,145.036099649724,29,2287.96478994222
3-3-mjp-1.6.R,-37.8740901541705,145.036099649724,30,2287.96478994222
3-3-mjp-1.6.R,-37.8735898242043,145.032042937344,31,2649.16833366792
3-3-mjp-1.6.R,-37.8735898242043,145.032042937344,32,2649.16833366792
3-3-mjp-1.6.R,-37.8731010291828,145.028145135428,33,2996.36424378208
3-3-mjp-1.6.R,-37.8731010291828,145.028145135428,34,2996.36424378208
3-3-mjp-1.6.R,-37.8727040478645,145.024892942298,35,3285.86899331134
3-3-mjp-1.6.R,-37.8727040478645,145.024892942298,36,3285.86899331134
3-3-mjp-1.6.R,-37.8725192073218,145.02354502356,37,3406.22263887307
3-3-mjp-1.6.R,-37.8722358999771,145.021165213069,38,3617.9512387362
3-3-mjp-1.6.R,-37.8722358999771,145.021165213069,39,3617.9512387362
3-3-mjp-1.6.R,-37.8717889046186,145.017630228937,40,3932.90044098952
3-3-mjp-1.6.R,-37.8717889046186,145.017630228937,41,3932.90044098952
3-3-mjp-1.6.R,-37.8714146352752,145.014673122099,42,4196.371502019
3-3-mjp-1.6.R,-37.8714146352752,145.014673122099,43,4196.371502019
3-3-mjp-1.6.R,-37.8711330694493,145.012407020382,44,4398.18577307038
3-3-mjp-1.6.R,-37.8711330694493,145.012407020382,45,4398.18577307038
3-3-mjp-1.6.R,-37.8706338541938,145.008464296483,46,4749.48052110968
3-3-mjp-1.6.R,-37.8706338541938,145.008464296483,47,4749.48052110968
3-3-mjp-1.6.R,-37.8702470756108,145.00531436491,48,5029.93194292815
3-3-mjp-1.6.R,-37.8702470756108,145.00531436491,49,5029.93194292815
3-3-mjp-1.6.R,-37.8697873217645,145.001586667192,50,5361.86115224845
3-3-mjp-1.6.R,-37.8697873217645,145.001586667192,51,5361.86115224845
3-3-mjp-1.6.R,-37.8695055066101,144.999320676207,52,5563.67542329983
3-3-mjp-1.6.R,-37.8695055066101,144.999320676207,53,5563.67542329983
3-3-mjp-1.6.R,-37.8691515053533,144.996522363641,54,5813.00452308564
3-3-mjp-1.6.R,-37.8691515053533,144.996522363641,55,5813.00452308564
3-3-mjp-1.6.R,-37.8688076079937,144.993792012383,56,6056.253366865
3-3-mjp-1.6.R,-37.8688076079937,144.993792012383,57,6056.253366865
3-3-mjp-1.6.R,-37.8683394557205,144.990121532491,58,6383.36344008196
3-3-mjp-1.6.R,-37.8683394557205,144.990121532491,59,6383.36344008196
3-3-mjp-1.6.R,-37.8681524737972,144.988671534989,60,6512.62286913841
3-3-mjp-1.6.R,-37.8681524737972,144.988671534989,61,6512.62286913841
3-3-mjp-1.6.R,-37.8679531630847,144.987028628594,62,6658.86239867813
3-3-mjp-1.6.R,-37.8678729397174,144.986553366267,63,6701.617515331
3-3-mjp-1.6.R,-37.8678729397174,144.986553366267,64,6701.617515331
3-3-mjp-1.6.R,-37.8675315385254,144.983982192243,65,6931.00365266279
3-3-mjp-1.6.R,-37.8675315385254,144.983982192243,66,6931.00365266279
3-3-mjp-1.6.R,-37.8671577972323,144.981104999387,67,7187.54214879933
3-3-mjp-1.6.R,-37.8671577972323,144.981104999387,68,7187.54214879933
3-3-mjp-1.6.R,-37.8669407571907,144.97948535681,69,7332.07588188611
3-3-mjp-1.6.R,-37.8669484323369,144.978882664433,70,7385.11360431082
3-3-mjp-1.6.R,-37.8669789984686,144.978563536348,71,7413.39787555828
3-3-mjp-1.6.R,-37.8669789984686,144.978563536348,72,7413.39787555828
3-3-mjp-1.6.R,-37.8670195471024,144.978300973195,73,7436.93508015016
3-3-mjp-1.6.R,-37.8671307885193,144.977956903893,74,7469.6306455987
3-3-mjp-1.6.R,-37.8671448990478,144.977729165617,75,7489.73039684094
3-3-mjp-1.6.R,-37.8669876964772,144.976971834358,76,7558.61435723812
3-3-mjp-1.6.R,-37.8669876964772,144.976971834358,77,7558.61435723812
3-3-mjp-1.6.R,-37.8665508858015,144.975676515176,78,7682.47314780222
3-3-mjp-1.6.R,-37.8664664961912,144.975485576939,79,7701.70853186389
3-3-mjp-1.6.R,-37.8655953559128,144.974088497129,80,7858.10865974107
3-3-mjp-1.6.R,-37.8652160744072,144.973519151544,81,7923.545652337
3-3-mjp-1.6.R,-37.8652160744072,144.973519151544,82,7923.545652337
3-3-mjp-1.6.R,-37.8649576049793,144.973162479467,83,7966.06623558794
3-3-mjp-1.6.R,-37.8645810591563,144.972752209621,84,8021.29304067388
3-3-mjp-1.6.R,-37.8643801552976,144.972598574798,85,8047.36985029469
3-3-mjp-1.6.R,-37.8641436129071,144.972468651927,86,8076.00549242124
3-3-mjp-1.6.R,-37.8638729979101,144.972453334938,87,8106.07208517799
3-3-mjp-1.6.R,-37.8630276674139,144.972556072953,88,8200.33236313217
3-3-mjp-1.6.R,-37.8626424996531,144.972691665206,89,8244.71704517452
3-3-mjp-1.6.R,-37.8624472709807,144.972867518746,90,8271.3440990859
3-3-mjp-1.6.R,-37.8620971465209,144.97346818851,91,8336.94897695333
3-3-mjp-1.6.R,-37.8620971465209,144.97346818851,92,8336.94897695333
3-3-mjp-1.6.R,-37.8610898365199,144.975155318066,93,8522.80106868221
3-3-mjp-1.6.R,-37.8610898365199,144.975155318066,94,8522.80106868221
3-3-mjp-1.6.R,-37.8601528030747,144.976738180723,95,8696.63432211779
3-3-mjp-1.6.R,-37.8601528030747,144.976738180723,96,8696.63432211779
3-3-mjp-1.6.R,-37.858164885482,144.980100119785,97,9065.7007118094
3-3-mjp-1.6.R,-37.858164885482,144.980100119785,98,9065.7007118094
3-3-mjp-1.6.R,-37.8568511710461,144.982318264191,99,9309.34799786037
3-3-mjp-1.6.R,-37.8568511710461,144.982318264191,100,9309.34799786037
3-3-mjp-1.6.R,-37.8564919879365,144.982919090298,101,9375.56733038494
3-3-mjp-1.6.R,-37.8553040198567,144.982485475092,102,9512.83349518895
3-3-mjp-1.6.R,-37.8553040198567,144.982485475092,103,9512.83349518895
3-3-mjp-1.6.R,-37.8528284123137,144.981586906123,104,9798.76005918747
3-3-mjp-1.6.R,-37.8528284123137,144.981586906123,105,9798.76005918747
3-3-mjp-1.6.R,-37.8498722820908,144.980519664609,106,10140.0473282146
3-3-mjp-1.6.R,-37.8498722820908,144.980519664609,107,10140.0473282146
3-3-mjp-1.6.R,-37.8475507637371,144.97967383656,108,10408.2562020424
3-3-mjp-1.6.R,-37.8475507637371,144.97967383656,109,10408.2562020424
3-3-mjp-1.6.R,-37.8445399877771,144.978574138142,110,10756.1642358675
3-3-mjp-1.6.R,-37.8445399877771,144.978574138142,111,10756.1642358675
3-3-mjp-1.6.R,-37.8411845753154,144.977347575285,112,11143.9218921426
3-3-mjp-1.6.R,-37.8411845753154,144.977347575285,113,11143.9218921426
3-3-mjp-1.6.R,-37.8392621002707,144.976650115124,114,11365.9579252544
3-3-mjp-1.6.R,-37.8392621002707,144.976650115124,115,11365.9579252544
3-3-mjp-1.6.R,-37.8360789845265,144.975487182783,116,11733.790767725
3-3-mjp-1.6.R,-37.8359697224968,144.975421993071,117,11747.20717559
3-3-mjp-1.6.R,-37.8359697224968,144.975421993071,118,11747.20717559
3-3-mjp-1.6.R,-37.835132241219,144.974933568837,119,11849.6229946806
3-3-mjp-1.6.R,-37.834281451414,144.9741955428,120,11964.2441096638
3-3-mjp-1.6.R,-37.8340327763055,144.973884194727,121,12003.1414103414
3-3-mjp-1.6.R,-37.8340327763055,144.973884194727,122,12003.1414103414
3-3-mjp-1.6.R,-37.8331823837061,144.972646234957,123,12147.3114488376
3-3-mjp-1.6.R,-37.8329432990409,144.972368721114,124,12183.3808264313
3-3-mjp-1.6.R,-37.8326867856417,144.972125773248,125,12218.9898140609
3-3-mjp-1.6.R,-37.8326867856417,144.972125773248,126,12218.9898140609
3-3-mjp-1.6.R,-37.8322755791478,144.97179616533,127,12273.0730831928
3-3-mjp-1.6.R,-37.8316942077916,144.971528032711,128,12341.782616738
3-3-mjp-1.6.R,-37.8313863875013,144.971445566775,129,12376.7111151312
3-3-mjp-1.6.R,-37.8309076204226,144.971379145932,130,12430.1713807497
3-3-mjp-1.6.R,-37.8304566585408,144.971357412088,131,12480.2612998951
3-3-mjp-1.6.R,-37.8304566585408,144.971357412088,132,12480.2612998951
3-3-mjp-1.6.R,-37.8298431703025,144.971317406285,133,12548.4448756301
3-3-mjp-1.6.R,-37.8286537891488,144.971327259801,134,12680.4600262757
3-3-mjp-1.6.R,-37.8274389506269,144.971428701442,135,12815.5932938304
3-3-mjp-1.6.R,-37.8270602442102,144.971416349965,136,12857.6408859137
3-3-mjp-1.6.R,-37.8266811464386,144.971381286454,137,12899.8309321331
3-3-mjp-1.6.R,-37.8261297320516,144.971282774515,138,12961.6451699752
3-3-mjp-1.6.R,-37.8253597892444,144.97105391462,139,13049.4460811322
3-3-mjp-1.6.R,-37.824796822878,144.970808028482,140,13115.5747436017
3-3-mjp-1.6.R,-37.824796822878,144.970808028482,141,13115.5747436017
3-3-mjp-1.6.R,-37.8208000418335,144.968974855668,142,13587.6351210959
3-3-mjp-1.6.R,-37.8208000418335,144.968974855668,143,13587.6351210959
3-3-mjp-1.6.R,-37.8180296356395,144.967710309134,144,13914.6657007058
3-3-mjp-1.6.R,-37.8180296356395,144.967710309134,145,13914.6657007058
3-3-mjp-1.6.R,-37.8157131215361,144.966637871572,146,14188.5726192019
3-3-mjp-1.6.R,-37.8157131215361,144.966637871572,147,14188.5726192019
3-3-mjp-1.6.R,-37.8130515676211,144.965415939839,148,14502.9688659988
3-3-mjp-1.6.R,-37.8130515676211,144.965415939839,149,14502.9688659988
3-3-mjp-1.6.R,-37.8098722570515,144.963958419473,150,14878.463206835
3-3-mjp-1.6.R,-37.8098722570515,144.963958419473,151,14878.463206835
3-3-mjp-1.6.R,-37.807810082478,144.963004159787,152,15122.2869136397
3-3-mjp-1.6.R,-37.807810082478,144.963004159787,153,15122.2869136397
3-3-mjp-1.6.R,-37.8073375688254,144.962778618168,154,15178.367213211
3-3-mjp-1.6.R,-37.8051362334546,144.963157141612,155,15424.9620225643
3-3-mjp-1.6.R,-37.8051362334546,144.963157141612,156,15424.9620225643
3-3-mjp-1.6.R,-37.8026204183723,144.9635897087,157,15706.7846618252
3-3-mjp-1.6.R,-37.8026204183723,144.9635897087,158,15706.7846618252
3-3-mjp-1.6.R,-37.7986495053235,144.964300696237,159,16151.9509229008
