shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2-LIL-F-mjp-1.1.H,-37.8183051340585,144.966964346166,1,0
2-LIL-F-mjp-1.1.H,-37.8177335742904,144.968831710922,2,176.232800579234
2-LIL-F-mjp-1.1.H,-37.8173818877091,144.970386306518,3,318.570427368498
2-LIL-F-mjp-1.1.H,-37.8169318797019,144.971989018237,4,468.266786709666
2-LIL-F-mjp-1.1.H,-37.8168180929093,144.972707805048,5,532.803597910716
2-LIL-F-mjp-1.1.H,-37.8167826333244,144.97326540923,6,582.058039334815
2-LIL-F-mjp-1.1.H,-37.8167973082541,144.973594444414,7,611.075275591909
2-LIL-F-mjp-1.1.H,-37.8168934195329,144.974466528152,8,688.599465365166
2-LIL-F-mjp-1.1.H,-37.8170091269447,144.974906401985,9,729.403876891373
2-LIL-F-mjp-1.1.H,-37.8173584157929,144.975828373661,10,819.364979596931
2-LIL-F-mjp-1.1.H,-37.8178993924923,144.976892800729,11,930.670864436862
2-LIL-F-mjp-1.1.H,-37.8184652375687,144.977831603103,12,1034.48319511102
2-LIL-F-mjp-1.1.H,-37.8192842192246,144.979342888283,13,1195.63219448737
2-LIL-F-mjp-1.1.H,-37.8201562540678,144.980795958983,14,1356.05663152861
2-LIL-F-mjp-1.1.H,-37.8218151204119,144.983465947467,15,1654.65669850784
2-LIL-F-mjp-1.1.H,-37.8222916172996,144.984452723173,16,1756.36707162681
2-LIL-F-mjp-1.1.H,-37.822836599215,144.985755752528,17,1886.0590143218
2-LIL-F-mjp-1.1.H,-37.8236761640757,144.989004882453,18,2186.91279940685
2-LIL-F-mjp-1.1.H,-37.8241012844109,144.990152167363,19,2298.39822446322
2-LIL-F-mjp-1.1.H,-37.8241012844109,144.990152167363,20,2298.39822446322
2-LIL-F-mjp-1.1.H,-37.824195624909,144.990399550881,21,2322.56431641041
2-LIL-F-mjp-1.1.H,-37.8243490490345,144.990940720299,22,2373.1607589731
2-LIL-F-mjp-1.1.H,-37.8245285249655,144.991424380151,23,2420.17139606728
2-LIL-F-mjp-1.1.H,-37.8244777724478,144.991618894804,24,2438.1991524446
2-LIL-F-mjp-1.1.H,-37.8247287256334,144.992066536414,25,2486.45886649265
2-LIL-F-mjp-1.1.H,-37.8249493625721,144.99232186278,26,2519.70040676984
2-LIL-F-mjp-1.1.H,-37.8256500106637,144.993245859263,27,2632.23928893952
2-LIL-F-mjp-1.1.H,-37.8260058468137,144.994031512641,28,2711.88851994647
2-LIL-F-mjp-1.1.H,-37.8261322318867,144.99457343498,29,2761.6177869831
2-LIL-F-mjp-1.1.H,-37.8264089587609,144.997065450323,30,2983.14882318345
2-LIL-F-mjp-1.1.H,-37.8264089587609,144.997065450323,31,2983.14882318345
2-LIL-F-mjp-1.1.H,-37.8275602161665,145.007555147088,32,3915.42560611865
2-LIL-F-mjp-1.1.H,-37.8275602161665,145.007555147088,33,3915.42560611865
2-LIL-F-mjp-1.1.H,-37.8279018481173,145.010704495789,34,4195.26127218
2-LIL-F-mjp-1.1.H,-37.827908762842,145.011647327277,35,4278.26729605778
2-LIL-F-mjp-1.1.H,-37.8278160099006,145.012558748333,36,4359.16228972241
2-LIL-F-mjp-1.1.H,-37.8275292949221,145.013725324233,37,4466.67973016814
2-LIL-F-mjp-1.1.H,-37.8272186163652,145.014540325309,38,4546.28500637518
2-LIL-F-mjp-1.1.H,-37.8269497162188,145.01516105451,39,4608.55056667941
2-LIL-F-mjp-1.1.H,-37.8260128699362,145.016788110243,40,4785.55339151563
2-LIL-F-mjp-1.1.H,-37.8255392647638,145.017561996736,41,4871.60570118829
2-LIL-F-mjp-1.1.H,-37.8247438328507,145.019026153073,42,5027.84270064745
2-LIL-F-mjp-1.1.H,-37.8242176933332,145.019892304922,43,5123.88956420894
2-LIL-F-mjp-1.1.H,-37.8226676355502,145.022035494546,44,5379.23442904863
2-LIL-F-mjp-1.1.H,-37.8221794554244,145.022480238099,45,5446.08500870207
2-LIL-F-mjp-1.1.H,-37.8218260089713,145.022898658759,46,5499.89950489036
2-LIL-F-mjp-1.1.H,-37.8218260089713,145.022898658759,47,5499.89950489036
2-LIL-F-mjp-1.1.H,-37.8215450045498,145.023337864019,48,5549.57847428386
2-LIL-F-mjp-1.1.H,-37.8211090997063,145.024212901617,49,5640.55099760821
2-LIL-F-mjp-1.1.H,-37.8208370427226,145.025185806815,50,5731.37500324549
2-LIL-F-mjp-1.1.H,-37.8206462381694,145.026167900901,51,5820.39747231931
2-LIL-F-mjp-1.1.H,-37.8206078610322,145.026566542822,52,5855.75281137864
2-LIL-F-mjp-1.1.H,-37.8206690735342,145.027530560749,53,5940.89974320827
2-LIL-F-mjp-1.1.H,-37.8208471172475,145.029014059158,54,6072.9981913445
2-LIL-F-mjp-1.1.H,-37.8210688519985,145.03041687915,55,6198.93468327595
2-LIL-F-mjp-1.1.H,-37.8212587146133,145.032070489176,56,6346.04008766341
2-LIL-F-mjp-1.1.H,-37.821334865375,145.03393161818,57,6510.11628947221
2-LIL-F-mjp-1.1.H,-37.8213602639365,145.035453276355,58,6644.12002076354
2-LIL-F-mjp-1.1.H,-37.8214668222115,145.036438832309,59,6731.69284759927
2-LIL-F-mjp-1.1.H,-37.8214668222115,145.036438832309,60,6731.69284759927
2-LIL-F-mjp-1.1.H,-37.8221799513777,145.042463889301,61,7268.02110529226
2-LIL-F-mjp-1.1.H,-37.8223314404338,145.04507288267,62,7498.33393602472
2-LIL-F-mjp-1.1.H,-37.8223983064618,145.04584365713,63,7566.59812868823
2-LIL-F-mjp-1.1.H,-37.8223983064618,145.04584365713,64,7566.59812868823
2-LIL-F-mjp-1.1.H,-37.822532932519,145.046896668702,65,7660.50233519677
2-LIL-F-mjp-1.1.H,-37.8230483814569,145.049177995909,66,7869.33959240918
2-LIL-F-mjp-1.1.H,-37.8233684177604,145.051089581378,67,8041.34249936136
2-LIL-F-mjp-1.1.H,-37.8236090262745,145.052014858808,68,8127.06880804195
2-LIL-F-mjp-1.1.H,-37.8238342341329,145.052554269771,69,8180.73443950194
2-LIL-F-mjp-1.1.H,-37.8240849611949,145.053002124285,70,8228.99415355
2-LIL-F-mjp-1.1.H,-37.824499519493,145.053547927863,71,8295.52234306392
2-LIL-F-mjp-1.1.H,-37.8256737458253,145.054800911135,72,8466.26483923871
2-LIL-F-mjp-1.1.H,-37.8259514886668,145.055248075028,73,8516.26483923871
2-LIL-F-mjp-1.1.H,-37.8262977237674,145.056022927506,74,8594.55915576297
2-LIL-F-mjp-1.1.H,-37.8264497255397,145.056496121793,75,8639.50356587146
2-LIL-F-mjp-1.1.H,-37.8265384822493,145.056959615448,76,8681.47974959509
2-LIL-F-mjp-1.1.H,-37.8265818225523,145.057401578189,77,8720.68434116291
2-LIL-F-mjp-1.1.H,-37.8265761521467,145.058696941084,78,8834.7238080154
2-LIL-F-mjp-1.1.H,-37.8265761521467,145.058696941084,79,8834.7238080154
2-LIL-F-mjp-1.1.H,-37.8264119060987,145.065143221196,80,9402.51690413405
2-LIL-F-mjp-1.1.H,-37.826338298148,145.065599603951,81,9443.51690413405
2-LIL-F-mjp-1.1.H,-37.826069440071,145.066788216926,82,9552.32866820393
2-LIL-F-mjp-1.1.H,-37.8260579496902,145.067186168011,83,9587.38576448985
2-LIL-F-mjp-1.1.H,-37.8258941905331,145.06819024741,84,9677.62987787128
2-LIL-F-mjp-1.1.H,-37.8258941905331,145.06819024741,85,9677.62987787128
2-LIL-F-mjp-1.1.H,-37.82559939898,145.069447688473,86,9793.06384167743
2-LIL-F-mjp-1.1.H,-37.8255466541786,145.069528592758,87,9802.28338613472
2-LIL-F-mjp-1.1.H,-37.8254818868535,145.071075428311,88,9938.65053760457
2-LIL-F-mjp-1.1.H,-37.8258628485818,145.076734869584,89,10438.6755369796
2-LIL-F-mjp-1.1.H,-37.8258618162914,145.077223438734,90,10481.6871633148
